,0
532,362.79
533,373.2
534,377.09
535,377.97
536,366.61
537,357.18
538,362.79
539,370.53
540,363.38
541,364.31
542,367.95
543,374.22
544,377.39
545,384.09
546,388.55
547,385.56
548,390.12
549,394.6
550,393.1
551,410.97
552,406.6
553,400.38
554,397.78
555,390.76
556,392.24
557,396.42
558,395.18
559,398.21
560,402.63
561,405.31
562,419.51
563,413.67
564,412.35
565,413.35
566,422.14
567,427.89
568,426.65
569,429.7
570,428.86
571,427.1
572,419.99
573,419.99
574,411.35
575,412.99
576,413.47
577,414.17
578,414.45
579,408.06
580,410.77
581,411.99
582,406.07
583,401.04
584,390.89
585,395.57
586,395.09
587,398.79
588,394.77
589,392.27
590,381.95
591,385.13
592,377.91
593,378.83
594,380.83
595,384.23
596,388.67
597,388.99
598,383.25
599,381.96
600,381.24
601,377.25
602,380.34
603,380.65
604,388.59
605,390.08
606,378.06
607,374.39
608,375.07
609,365.86
610,366.65
611,379.2
612,373.87
613,375.0
614,389.8
615,401.44
616,411.22
617,415.74
618,411.79
619,410.54
620,417.39
621,409.59
622,412.93
623,415.26
624,405.31
625,397.37
626,393.89
627,396.92
628,389.63
629,389.46
630,391.86
631,408.32
632,400.09
633,401.72
634,392.34
635,392.75
636,399.09
637,398.17
638,411.34
639,413.81
640,429.06
641,416.38
642,414.48
643,412.0
644,427.81
645,417.27
646,416.1
647,428.51
648,426.04
649,438.06
650,444.71
651,445.04
652,437.97
653,437.79
654,443.31
655,438.29
656,439.92
657,447.57
658,448.77
659,446.52
660,451.03
661,456.8
662,452.92
663,451.64
664,458.7
665,461.55
666,455.91
667,452.69
668,450.49
669,443.8
670,449.59
671,444.39
672,444.52
673,441.07
674,435.62
675,426.17
676,417.0
677,420.07
678,425.48
679,427.41
680,416.25
681,419.43
682,432.17
683,435.71
684,437.89
685,429.98
686,436.63
687,437.75
688,428.3
689,421.95
690,429.57
691,434.23
692,437.06
693,446.6
694,446.1
695,439.02
696,440.46
697,449.32
698,457.54
699,450.94
700,447.26
701,448.7
702,446.6
703,457.35
704,452.95
705,449.91
706,441.95
707,431.24
708,433.38
709,434.47
710,439.84
711,437.98
712,446.75
713,451.75
714,456.49
715,464.72
716,464.53
717,471.02
718,469.75
719,465.51
720,466.09
721,467.94
722,468.38
723,477.55
724,477.71
725,474.96
726,476.16
727,477.48
728,476.87
729,477.26
730,470.6
731,467.69
732,463.06
733,454.98
734,459.87
735,466.45
736,470.6
737,463.36
738,466.57
739,470.74
740,466.35
741,469.52
742,468.28
743,458.79
744,453.42
745,457.4
746,450.5
747,455.56
748,464.6
749,458.97
750,469.44
751,468.19
752,467.57
753,468.89
754,469.73
755,468.14
756,469.28
757,467.43
758,467.27
759,463.77
760,463.62
761,467.38
762,468.93
763,468.53
764,466.91
765,464.72
766,461.9
767,460.04
768,459.25
769,458.32
770,453.94
771,455.96
772,455.55
773,453.12
774,453.59
775,452.41
776,450.64
777,447.19
778,445.87
779,442.5
780,435.18
781,433.62
782,434.69
783,437.86
784,438.66
785,434.9
786,433.1
787,428.64
788,434.24
789,429.14
790,434.45
791,433.72
792,442.64
793,443.91
794,443.18
795,437.86
796,433.63
797,434.04
798,441.4
799,447.17
800,447.88
801,444.17
802,446.58
803,445.44
804,448.98
805,450.91
806,451.46
807,453.08
808,453.19
809,451.8
810,451.56
811,452.23
812,450.25
813,446.26
814,448.91
815,447.97
816,447.26
817,443.36
818,439.86
819,439.18
820,444.04
821,446.97
822,445.92
823,445.11
824,443.78
825,442.68
826,442.13
827,442.49
828,441.76
829,438.98
830,441.15
831,437.59
832,438.51
833,440.65
834,438.83
835,439.01
836,441.02
837,439.94
838,435.46
839,434.55
840,431.06
841,424.97
842,431.34
843,434.75
844,436.24
845,435.59
846,437.08
847,435.52
848,430.92
849,434.46
850,432.93
851,433.72
852,430.43
853,428.06
854,427.7
855,427.47
856,426.61
857,425.1
858,422.6
859,423.11
860,420.86
861,414.92
862,421.97
863,422.11
864,424.48
865,425.26
866,424.31
867,423.61
868,421.65
869,422.28
870,422.19
871,422.6
872,418.77
873,420.33
874,419.67
875,420.04
876,419.29
877,419.07
878,418.24
879,419.17
880,414.94
881,415.28
882,410.86
883,411.94
884,415.52
